#BWA-Zeile;Konto von;Konto bis
1020;8000;8195
1020;8200;8519
1020;8700;8799
1020;8950;8959
1040;8960;8989
1045;8990;8999
1060;3000;3969
1060;8591;8599
1060;8900;8905
1060;8910;8917
1060;8919;8919
1060;8940;8949
1090;2660;2669
1090;2764;2789
1090;8196;8199
1090;8520;8590
1090;8600;8649
1090;8906;8909
1090;8918;8918
1090;8920;8939
1100;4100;4138
1100;4140;4199
1100;4990;4990
1100;4995;4995
1120;4200;4299
1120;4991;4991
1140;2285;2299
1140;2375;2379
1140;4340;4359
1140;4510;4519
1150;4360;4399
1160;4400;4499
1180;4500;4509
1180;4520;4599
1200;4600;4699
1220;4700;4799
1240;2400;2449
1240;4815;4899
1240;4993;4993
1250;4800;4807
1250;4809;4809
1260;2150;2169
1260;4139;4139
1260;4300;4319
1260;4808;4808
1260;4810;4814
1260;4900;4989
1260;4992;4992
1260;4994;4994
1260;4996;4999
1310;2100;2145
1310;2146;2147
1310;2148;2149
1310;2686;2687
1312;2000;2099
1312;2170;2199
1312;2300;2314
1312;2320;2374
1312;2380;2399
1312;2450;2479
1312;2490;2492
1312;2493;2493
1312;2494;2494
1312;2900;2999
1312;8800;8819
1322;2146;2147
1322;2600;2659
1322;2670;2685
1322;2686;2687
1322;2688;2699
1322;8650;8699
1323;2315;2319
1323;2493;2493
1323;2500;2599
1323;2700;2744
1323;2746;2763
1323;2790;2794
1323;8820;8899
1324;2890;2899
1355;2200;2284
1355;4320;4339
